depth_ppm,discovery_method,discovery_year,distance_ratio,duration_hours,eccentricity,equilibrium_temp_k,fp_flag_co,fp_flag_ec,fp_flag_nt,fp_flag_ss,impact_parameter,inclination_deg,insolation_flux,label,label_raw,longitude_periastron,mission,object_id,period_days,planet_mass_earth,planet_mass_jupiter,planet_radius_jupiter,planet_radius_rearth,radius_ratio,score,semi_major_axis_au,stellar_age_gyr,stellar_density,stellar_distance_pc,stellar_logg,stellar_luminosity,stellar_mass_msun,stellar_metallicity,stellar_radius_rsun,stellar_teff_k,transit_epoch,transit_ingress_hours,duty_cycle,transit_frequency,planet_radius_from_depth,mission_encoded,stellar_radius_solar,stellar_mass_solar,transit_depth_mag,habitable_zone_inner,habitable_zone_outer,in_habitable_zone,transit_snr,has_radius_measurement,has_mass_measurement,has_stellar_parameters
520.0,,,97.3,1.639,0.0,668.0,0.0,0.0,0.0,0.0,0.785,89.54,47.21,planet,CONFIRMED,,kepler,K03311.01,31.827649,1.0,,,4.98,0.022803508501982758,1.0,0.1939,4.6,17.21605,100.0,3.838,1.0,0.959,0.38,1.954,4774.0,134.59995,,0.0021456711008301828,0.031419222952974,0.044558055612874306,0,1.954,0.959,0.0005647296689166592,,,False,22.803508501982762,True,False,True
597.8,,,17.02,5.731,0.0,875.0,0.0,0.0,0.0,0.0,0.648,87.82,138.64,planet,CONFIRMED,,kepler,K01198.01,16.08832318,1.0,,,3.42,0.024449948875202177,0.986,0.1281,4.6,0.36003,100.0,4.224,1.0,1.08,-0.08,1.33,6157.0,139.49184,,0.014842545366288862,0.06215688165955901,0.032518432004018896,0,1.33,1.08,0.0006492471825278719,,,False,24.44994887520217,True,False,True
569.5,,,14.82,4.1886,0.0,869.0,0.0,0.0,0.0,0.0,0.734,87.16,134.97,planet,CONFIRMED,,kepler,K01406.01,11.36113254,1.0,,,2.6,0.02386419912756345,1.0,0.1013,4.6,0.47666,100.0,4.46,1.0,1.069,-0.2,1.009,6244.0,136.92584,,0.015361584717503877,0.08801939388342,0.024078976919711517,0,1.009,1.069,0.0006185029040330406,,,False,23.864199127563445,True,False,True
463.5,,,8.254,3.691,0.0,1074.0,0.0,0.0,0.0,0.0,0.112,89.22,314.25,planet,CONFIRMED,,kepler,K02489.01,3.92453009,1.0,,,1.82,0.021529050141610984,0.999,0.0478,4.6,0.69061,100.0,4.554,1.0,0.939,-0.18,0.849,5776.0,132.40179,,0.0391872818247819,0.25480757621099037,0.018278163570227726,0,0.849,0.939,0.0005033553925310612,,,False,21.529050141610988,True,False,True
228.7,,,43.6,3.204,0.0,741.0,0.0,0.0,0.0,0.0,0.669,89.12,71.16,planet,CONFIRMED,,kepler,K03071.01,23.9553986,1.0,,,2.84,0.01512283042290695,0.933,0.1586,4.6,2.72288,100.0,3.903,1.0,0.926,0.07,1.781,5011.0,146.66221,,0.00557285655017237,0.041744243821515876,0.026933760983197275,0,1.781,0.926,0.000248336268362972,,,False,15.12283042290695,True,False,True
1105.1,,,132.45,5.506,0.0,240.0,0.0,0.0,0.0,0.0,0.019,89.99,0.78,planet,CONFIRMED,,kepler,K01298.02,92.7495777,1.0,,,1.87,0.03324304438525449,0.0,0.3378,4.6,5.1101,100.0,4.684,1.0,0.596,-0.2,0.582,4141.0,173.27975,,0.0024735063205216803,0.01078172024927721,0.019347451832218112,0,0.582,0.596,0.0012005105442235023,,,False,33.24304438525449,True,False,True
1829.9,,,85.3,10.914,0.0,554.0,0.0,0.0,0.0,0.0,0.416,89.72,22.21,planet,CONFIRMED,,kepler,K01335.01,127.8334997,1.0,,,9.46,0.04277733044499154,1.0,0.5829,4.6,0.71826,100.0,3.973,1.0,1.613,0.36,2.17,6505.0,293.41845,,0.003557361732779033,0.007822675608090232,0.09282680706563164,0,2.17,1.613,0.001988608714048506,,,False,42.77733044499154,True,False,True
252.6,,,9.931,4.054,0.0,1314.0,0.0,0.0,0.0,0.0,0.012,89.93,705.79,planet,CONFIRMED,,kepler,K02243.01,5.18560081,1.0,,,2.34,0.01589339485446706,1.0,0.0631,4.6,0.68894,100.0,4.198,1.0,1.25,0.16,1.471,6172.0,132.32455,,0.03257417469175894,0.1928416853976849,0.02337918383092105,0,1.471,1.25,0.00027429160981092975,,,False,15.89339485446706,True,False,True
229.2,,,21.99,2.491,0.0,784.0,0.0,0.0,0.0,0.0,0.125,89.67,89.24,planet,CONFIRMED,,kepler,K01986.02,7.12766417,1.0,,,1.21,0.01513935269422045,0.989,0.0692,4.6,3.9606,100.0,4.548,1.0,0.868,0.16,0.821,5159.0,136.00586,,0.014561806531727584,0.1402984170058057,0.012429408561954989,0,0.821,0.868,0.00024887926078354165,,,False,15.13935269422045,True,False,True
249.9,,,4.71,1.3117,0.0,1564.0,0.0,0.0,0.0,0.0,0.454,84.47,1419.46,planet,CONFIRMED,,kepler,K02886.01,0.88184263,1.0,,,1.24,0.0158082257068907,1.0,0.0171,4.6,2.5447,100.0,4.594,1.0,0.871,-0.06,0.776,5268.0,131.68869,,0.06197723358720668,1.1339891789989787,0.012267183148547184,0,0.776,0.871,0.0002713593853366578,,,False,15.8082257068907,True,False,True
