object_id,period_days,duration_hours,depth_ppm,planet_radius_rearth,planet_mass_earth,score,label_raw,stellar_teff_k,stellar_radius_rsun,stellar_logg,stellar_mass_msun,stellar_metallicity,impact_parameter,semi_major_axis_au,inclination_deg,equilibrium_temp_k,insolation_flux,distance_ratio,stellar_density,transit_epoch,eccentricity,longitude_periastron,transit_ingress_hours,radius_ratio,stellar_luminosity,stellar_age_gyr,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,mission,label,stellar_distance_pc,planet_radius_jupiter,planet_mass_jupiter,discovery_year,discovery_method,duty_cycle,transit_frequency,planet_radius_from_depth,mission_encoded,stellar_radius_solar,stellar_mass_solar,transit_depth_mag,habitable_zone_inner,habitable_zone_outer,in_habitable_zone,transit_snr,has_radius_measurement,has_mass_measurement,has_stellar_parameters,multi_planet_system,binary_label
K06466.01,1.000012952,1.221,36.0,2.12,1.0,0.002,FALSE POSITIVE,5176.0,3.605,3.534,1.621,0.12,0.097,0.023,89.12,2858.0,15781.19,6.29,4.70461,131.7614,0.0,0.0,0.0,0.006,1.0,4.6,0.0,0.0,1.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.05087434107553439,0.9999870481677521,0.02163,0,3.605,1.621,3.908720694527826e-05,0.0,0.0,False,6.0,True,False,True,False,not_exoplanet
K07653.01,324.18028,18.15,87.9,2.2,1.0,0.0,FALSE POSITIVE,5792.0,2.183,3.835,1.19,-0.12,0.733,0.9789,89.56,382.0,5.01,94.6,0.15249,445.8295,0.0,0.0,0.0,0.009375499986667379,1.0,4.6,1.0,0.0,1.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.0023328069184220582,0.0030847033632027216,0.020466716470894885,0,2.183,1.19,9.544040706561596e-05,0.0,0.0,False,9.375499986667377,True,False,True,False,not_exoplanet
K03866.01,2.531140101,20.399,11786.0,32.12,1.0,0.0,FALSE POSITIVE,5325.0,0.75,4.607,0.84,-0.22,1.249,0.0342,29.52,1100.0,346.06,1.435,0.00873,132.49471,0.0,0.0,0.0,0.10856334556377673,1.0,4.6,0.0,1.0,1.0,1.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.3358005876472554,0.39507888149096176,0.08142250917283254,0,0.75,0.84,0.012872494413211201,0.0,0.0,False,108.56334556377674,True,False,True,False,not_exoplanet
K01155.01,0.933746515,6.6522,2936.6,25.54,1.0,0.0,FALSE POSITIVE,5252.0,0.716,4.596,0.737,-0.42,1.262,0.0169,22.02,1508.0,1222.25,1.361,0.0547,133.387415,0.0,0.0,0.0,0.05419040505476961,1.0,4.6,0.0,0.0,1.0,1.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.2968418040093033,1.0709544656238956,0.03880033001921504,0,0.716,0.737,0.0031930636122171558,0.0,0.0,False,54.19040505476961,True,False,True,False,not_exoplanet
K03840.01,2.845739012,11.9327,24392.0,44.7,1.0,0.0,FALSE POSITIVE,5982.0,0.96,4.493,1.047,-0.04,1.213,0.0399,49.84,1294.0,663.42,1.881,0.01555,134.279738,0.0,0.0,0.0,0.1561793840428371,1.0,4.6,0.0,1.0,1.0,1.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.17471589321323655,0.3514025691685601,0.1499322086811236,0,0.96,1.047,0.026811617806360186,0.0,0.0,False,156.17938404283709,True,False,True,False,not_exoplanet
K07331.01,0.84986054,1.3875,6571.5,67.45,1.0,0.701,FALSE POSITIVE,5164.0,1.676,3.949,0.91,-0.02,1.26,0.017,63.43,2260.0,6185.9,2.82,0.58519,132.0547,0.0,0.0,0.0,0.0810647889036911,1.0,4.6,0.0,1.0,0.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.06802586692635476,1.176663644131542,0.1358645862025863,0,1.676,0.91,0.007158462233134254,0.0,0.0,False,81.06478890369111,True,False,True,False,not_exoplanet
K02014.01,2.466070972,1.9559,704.5,24.3,1.0,0.998,FALSE POSITIVE,5708.0,0.884,4.529,0.963,-0.04,1.223,0.0353,64.63,1260.0,595.8,2.85,0.07227,132.32097,0.0,0.0,0.0,0.026542418879973995,1.0,4.6,0.0,1.0,0.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.03304683208984844,0.40550333358370194,0.023463498289897012,0,0.884,0.963,0.0007651707192966007,0.0,0.0,False,26.542418879973997,True,False,True,False,not_exoplanet
K03276.01,25.951984,20.585,2340.2,36.8,1.0,0.0,FALSE POSITIVE,5889.0,1.046,4.46,1.152,0.36,1.266,0.1799,70.99,626.0,36.39,3.89,0.00165,148.92323,0.0,0.0,0.0,0.04837561369119776,1.0,4.6,0.0,1.0,1.0,1.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.033049817437207626,0.038532699465289436,0.05060089192099285,0,1.046,1.152,0.0025438175495925783,0.0,0.0,False,48.375613691197756,True,False,True,False,not_exoplanet
K00653.01,1.125963085,1.5034,146.0,1.41,1.0,0.0,FALSE POSITIVE,6225.0,1.116,4.348,1.011,-0.22,0.596,0.0213,82.78,1988.0,3689.22,4.74,1.58757,169.634,0.0,0.0,0.0,0.012083045973594572,1.0,4.6,0.0,1.0,1.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.055633854698412845,0.8881285837181776,0.013484679306531543,0,1.116,1.011,0.00015852905879757786,0.0,0.0,False,12.083045973594572,True,False,True,False,not_exoplanet
K03583.01,210.30644361,6.68665,46455.0,101.13,1.0,0.0,FALSE POSITIVE,7591.0,2.017,4.05,1.665,-0.08,1.155,0.8208,89.69,525.0,17.94,214.22,4.20467,285.127394,0.0,0.0,0.0,0.21553422002085887,1.0,4.6,0.0,1.0,0.0,0.0,kepler,fp,100.0,0.0,0.0,0.0,0,0.0013247830731393665,0.0047549660525591725,0.43473252178207233,0,2.017,1.665,0.05164701692634246,0.0,0.0,False,215.53422002085887,True,False,True,False,not_exoplanet
